version_added,version_revoked,reverse_patch,component,priority,min_lon,max_lon,min_lat,max_lat,spatial_complete,min_date,max_date,time_complete,npoints1,npoints2,displacement_type,error_type,max_displacement,spatial_model,time_function,time0,factor0,time1,factor1,decay,file1,description
20170601,0,N,1,1,165.85,179.5,-48.125,-34.0,Y,0,0,Y,92,114,horizontal,none,0.67114,llgrid,step,2016-11-14,0,2016-11-14,1.0,0,grid_ka_20161114_HP0_L1_F.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,N,1,2,171.925,175.4875,-43.3125,-40.8125,Y,0,0,Y,96,81,horizontal,none,0.67114,llgrid,step,2016-11-14,0,2016-11-14,1.0,0,grid_ka_20161114_HP0_L2_F.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,N,2,1,182.65,184.3,-44.75,-43.25,Y,0,0,Y,12,13,horizontal,none,0.00751,llgrid,step,2016-11-14,0,2016-11-14,1.0,0,grid_ka_20161114_HP1_L1_F.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,1,172.4875,174.925,-42.875,-41.25,Y,0,0,Y,66,53,horizontal,none,7.40262,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L2_R.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,2,172.571875,173.678125,-42.8671875,-42.140625,Y,0,0,Y,119,94,horizontal,none,5.43427,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L3_R_00.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,3,172.6,173.678125,-42.140625,-41.421875,Y,0,0,Y,116,93,horizontal,none,4.37758,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L3_R_01.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,4,173.678125,174.7375,-42.84375,-42.140625,Y,0,0,Y,114,91,horizontal,none,8.62653,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L3_R_02.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,5,173.678125,174.775,-42.140625,-41.421875,Y,0,0,Y,118,93,horizontal,none,8.02084,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L3_R_03.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,6,172.78046875,173.0265625,-42.69921875,-42.517578125,Y,0,0,Y,106,94,horizontal,none,2.98728,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_00.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,7,172.78046875,173.0265625,-42.517578125,-42.3359375,Y,0,0,Y,106,94,horizontal,none,1.01888,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_01.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,8,173.0265625,173.27265625,-42.69921875,-42.517578125,Y,0,0,Y,106,94,horizontal,none,4.28628,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_02.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,9,173.0265625,173.27265625,-42.517578125,-42.3359375,Y,0,0,Y,106,94,horizontal,none,3.05005,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_03.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,10,173.27265625,173.51875,-42.69921875,-42.517578125,Y,0,0,Y,106,94,horizontal,none,2.052,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_04.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,11,173.27265625,173.51875,-42.517578125,-42.3359375,Y,0,0,Y,106,94,horizontal,none,2.92885,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_05.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,12,173.27265625,173.51875,-42.3359375,-42.154296875,Y,0,0,Y,106,94,horizontal,none,2.1322,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_06.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,13,173.27265625,173.51875,-42.154296875,-41.97265625,Y,0,0,Y,106,94,horizontal,none,2.3213,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_07.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,14,173.51875,173.76484375,-42.69921875,-42.517578125,Y,0,0,Y,106,94,horizontal,none,1.24492,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_08.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,15,173.51875,173.76484375,-42.517578125,-42.3359375,Y,0,0,Y,106,94,horizontal,none,2.18194,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_09.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,16,173.51875,173.76484375,-42.3359375,-42.154296875,Y,0,0,Y,106,94,horizontal,none,10.13261,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_10.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,17,173.51875,173.76484375,-42.154296875,-41.97265625,Y,0,0,Y,106,94,horizontal,none,7.78076,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_11.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,18,173.51875,173.76484375,-41.97265625,-41.791015625,Y,0,0,Y,106,94,horizontal,none,4.29611,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_12.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,19,173.76484375,174.0109375,-42.517578125,-42.3359375,Y,0,0,Y,106,94,horizontal,none,1.24174,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_13.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,20,173.76484375,174.0109375,-42.3359375,-42.154296875,Y,0,0,Y,106,94,horizontal,none,5.14674,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_14.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,21,173.76484375,174.0109375,-42.154296875,-41.97265625,Y,0,0,Y,106,94,horizontal,none,7.78076,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_15.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
20170601,0,Y,3,22,173.76484375,174.0109375,-41.97265625,-41.791015625,Y,0,0,Y,106,94,horizontal,none,6.126,llgrid,step,2016-11-14,-1.0,2016-11-14,0,0,grid_ka_20161114_HP0_L4_R_16.csv,"Event: Kaikoura earthquake,  14 November 2016
 Source model: Geodetic source model, based on GPS & InSAR data; elastic half-space assumption; 
 Version: Model 001, 21 February 2017
"
